Route Number,Route Name_x,Schedule Period Name,Day Type,Time Period,Averge Early Stop count,Averge Late Stop count,Averge On-Time Stop count,Route Name_y,Average Boardings,Average Alightings,Average Pass-Up,Average Wheelchair Pass-Up
15,Sargent-Mountain,Winter 2022,Weekday,Morning,45.78518519,47.6,177.8148148,Sargent-Mountain,7.110695187,6.609090909,2,0
15,Sargent-Mountain,Winter 2022,Weekday,Night,14.23684211,37.38157895,67.85526316,Sargent-Mountain,1.745714286,1.969142857,0,0
15,Sargent-Mountain,Winter 2022,Weekday,PM Peak,35.98076923,102.6538462,123.7211538,Sargent-Mountain,10.30268817,10.81397849,14,7
16,Selkirk-Osborne,Fall 2022,Weekday,Evening,27.56521739,30.8173913,73.85652174,Selkirk-Osborne,3.123167155,3.350733138,0,0
16,Selkirk-Osborne,Fall 2022,Weekday,Mid-Day,91.05809129,163.7385892,312.9958506,Selkirk-Osborne,11.11603499,11.0548105,3,11
16,Selkirk-Osborne,Fall 2022,Weekday,Morning,54.92405063,72.4978903,261.4978903,Selkirk-Osborne,5.653061224,5.165306122,1,0
16,Selkirk-Osborne,Fall 2022,Weekday,Night,17.51176471,16.27647059,45.23529412,Selkirk-Osborne,1.481702128,1.631489362,0,0
16,Selkirk-Osborne,Fall 2022,Weekday,PM Peak,46.0620155,108.2751938,145.3837209,Selkirk-Osborne,6.836070381,7.239882698,2,2
16,Selkirk-Osborne,Spring 2023,Weekday,Evening,13.71721311,60.68032787,51.69672131,Selkirk-Osborne,3.277581121,3.43480826,5,0
16,Selkirk-Osborne,Spring 2023,Weekday,Mid-Day,91.86746988,229.4578313,347.6666667,Selkirk-Osborne,10.73470588,10.49735294,4,20
16,Selkirk-Osborne,Spring 2023,Weekday,Morning,82.12133891,79.42259414,349.707113,Selkirk-Osborne,5.499117647,5.070588235,0,0
16,Selkirk-Osborne,Spring 2023,Weekday,Night,9.732876712,20.56849315,42.80136986,Selkirk-Osborne,1.346153846,1.47008547,0,0
16,Selkirk-Osborne,Spring 2023,Weekday,PM Peak,37.06593407,203.4212454,105.1501832,Selkirk-Osborne,6.654117647,7.036764706,9,5
16,Selkirk-Osborne,Summer 2022,Weekday,Evening,15.56306306,39.15765766,58.16216216,Selkirk-Osborne,3.154819277,3.315662651,0,2
16,Selkirk-Osborne,Summer 2022,Weekday,Mid-Day,83.70434783,148.6434783,321.4913043,Selkirk-Osborne,9.08422619,8.831547619,2,25
16,Selkirk-Osborne,Summer 2022,Weekday,Morning,54.31300813,59.28861789,271.9471545,Selkirk-Osborne,3.836936937,3.532132132,2,0
16,Selkirk-Osborne,Summer 2022,Weekday,Night,11.58208955,14.37313433,42.01492537,Selkirk-Osborne,1.605777778,1.738222222,0,1
16,Selkirk-Osborne,Summer 2022,Weekday,PM Peak,48.93385214,89.51361868,139.8560311,Selkirk-Osborne,5.211445783,5.493674699,1,5
16,Selkirk-Osborne,Summer 2023,Weekday,Evening,21.11111111,40.41414141,50.95959596,Selkirk-Osborne,3.603283582,3.789552239,0,1
16,Selkirk-Osborne,Summer 2023,Weekday,Mid-Day,130.375,138.7142857,328.1964286,Selkirk-Osborne,10.66904762,10.4139881,8,23
16,Selkirk-Osborne,Summer 2023,Weekday,Morning,95.60504202,46.5210084,273.5966387,Selkirk-Osborne,4.819642857,4.519940476,7,1
16,Selkirk-Osborne,Summer 2023,Weekday,Night,9.962264151,17.69811321,30.69811321,Selkirk-Osborne,1.778695652,1.920869565,0,0
16,Selkirk-Osborne,Summer 2023,Weekday,PM Peak,81.31623932,108.6153846,145.5982906,Selkirk-Osborne,6.298214286,6.56875,4,4
16,Selkirk-Osborne,Winter 2022,Weekday,Evening,23.57024793,59.74380165,81.89256198,Selkirk-Osborne,3.374926254,3.564306785,0,0
16,Selkirk-Osborne,Winter 2022,Weekday,Mid-Day,83.109375,228.328125,324.5546875,Selkirk-Osborne,11.25337243,11.10293255,3,6
16,Selkirk-Osborne,Winter 2022,Weekday,Morning,66.52542373,103.2711864,324.6779661,Selkirk-Osborne,5.358064516,4.893548387,0,0
16,Selkirk-Osborne,Winter 2022,Weekday,Night,21.27433628,14.63716814,58.62831858,Selkirk-Osborne,1.475744681,1.623404255,0,0
16,Selkirk-Osborne,Winter 2022,Weekday,PM Peak,45.68085106,150.4255319,127.2624113,Selkirk-Osborne,7.192647059,7.5,5,4
17,McGregor,Fall 2022,Weekday,Evening,34.59562842,22.28415301,85.52459016,McGregor,2.74742268,2.894845361,0,0
17,McGregor,Fall 2022,Weekday,Mid-Day,87.20858896,78.7791411,359.2331288,McGregor,9.478350515,9.288659794,4,1
17,McGregor,Fall 2022,Weekday,Morning,69.38211382,78.00813008,389.8699187,McGregor,5.309793814,4.905154639,0,0
17,McGregor,Fall 2022,Weekday,Night,33.11627907,22.74418605,85.56976744,McGregor,1.049618321,1.219847328,0,0
17,McGregor,Fall 2022,Weekday,PM Peak,43.35443038,99.58860759,164.8987342,McGregor,6.367010309,6.732989691,5,0
17,McGregor,Spring 2023,Weekday,Evening,24.11538462,43.81730769,70.50480769,McGregor,3.464948454,3.595876289,2,0
17,McGregor,Spring 2023,Weekday,Mid-Day,75.28402367,173.2189349,379.2248521,McGregor,9.565979381,9.237113402,5,7
17,McGregor,Spring 2023,Weekday,Morning,88.95454545,83.62121212,413.3333333,McGregor,4.893298969,4.610824742,0,0
17,McGregor,Spring 2023,Weekday,Night,28.01162791,28.88372093,98.81395349,McGregor,1.345801527,1.560305344,0,1
17,McGregor,Spring 2023,Weekday,PM Peak,43.49142857,154.12,121.2857143,McGregor,6.698969072,7.209793814,20,2
17,McGregor,Summer 2022,Weekday,Evening,18.17553191,22.23404255,73.73404255,McGregor,2.612371134,2.736082474,0,2
17,McGregor,Summer 2022,Weekday,Mid-Day,88.69325153,76.50306748,375.7361963,McGregor,6.98556701,6.791752577,0,4
17,McGregor,Summer 2022,Weekday,Morning,79.96124031,33.06976744,385.6744186,McGregor,3.381443299,3.107731959,0,0
17,McGregor,Summer 2022,Weekday,Night,17.17647059,23.35294118,51.54117647,McGregor,1.16870229,1.288549618,0,0
17,McGregor,Summer 2022,Weekday,PM Peak,56.23809524,62.39880952,176,McGregor,4.724742268,5.013402062,3,2
17,McGregor,Summer 2023,Weekday,Evening,23.27380952,49.63095238,65.39285714,McGregor,3.24742268,3.472680412,12,3
17,McGregor,Summer 2023,Weekday,Mid-Day,102.1807229,150.686747,352.9759036,McGregor,10.33608247,9.966494845,13,12
17,McGregor,Summer 2023,Weekday,Morning,124.8730159,51.04761905,446.8095238,McGregor,4.567010309,4.245876289,4,0
17,McGregor,Summer 2023,Weekday,Night,12.53448276,20.36206897,60.20689655,McGregor,1.581679389,1.795419847,0,0
17,McGregor,Summer 2023,Weekday,PM Peak,63.8452381,83.1547619,137.5714286,McGregor,6.325257732,6.658247423,26,4
17,McGregor,Winter 2022,Weekday,Evening,31.48,38.34,107.97,McGregor,3.009278351,3.169072165,0,1
17,McGregor,Winter 2022,Weekday,Mid-Day,121.4578313,121.7228916,369.7108434,McGregor,9.738659794,9.553092784,2,0
17,McGregor,Winter 2022,Weekday,Morning,124.2698413,67.31746032,418.9365079,McGregor,5.384536082,4.974742268,1,1
17,McGregor,Winter 2022,Weekday,Night,30.88135593,44.10169492,96.49152542,McGregor,1.230534351,1.41221374,0,0
17,McGregor,Winter 2022,Weekday,PM Peak,62.62195122,118.3414634,145.3536585,McGregor,6.403608247,6.729896907,6,1
18,North Main-Corydon,Fall 2022,Weekday,Evening,47.23140496,89.53719008,209.8099174,North Main-Corydon,5.588942308,5.875,0,2
18,North Main-Corydon,Fall 2022,Weekday,Mid-Day,116.75,307.9121622,529.8310811,North Main-Corydon,18.7,18.39807692,21,6
18,North Main-Corydon,Fall 2022,Weekday,Morning,100.5714286,75.54658385,352.0931677,North Main-Corydon,7.605288462,7.005769231,1,1
18,North Main-Corydon,Fall 2022,Weekday,Night,22.04697987,32.5704698,80.8590604,North Main-Corydon,1.375961538,1.539903846,0,0
18,North Main-Corydon,Fall 2022,Weekday,PM Peak,62.77235772,212.0813008,236.3089431,North Main-Corydon,11.50837696,11.95863874,30,1
18,North Main-Corydon,Spring 2023,Weekday,Evening,45.56923077,107.5384615,167.8230769,North Main-Corydon,6.747596154,6.997596154,0,4
