,Route Number,Route Name_x,Schedule Period Name,Day Type,Time Period,Averge Early Stop count,Averge Late Stop count,Averge On-Time Stop count,Route Name_y,Average Boardings,Average Alightings,Average Pass-Up,Average Wheelchair Pass-Up
122,11,Portage-Kildonan,Summer 2022,Saturday,Morning,23.130434782608695,25.130434782608695,150.0,,,,300.0,25.0
123,11,Portage-Kildonan,Summer 2022,Sunday,Morning,27.612903225806452,17.64516129032258,98.58064516129032,,,,300.0,25.0
124,11,Portage-Kildonan,Summer 2022,Weekday,Morning,61.04651162790697,60.27906976744186,300.30232558139534,Portage-Kildonan,5.937948717948719,5.642564102564102,300.0,25.0
125,11,Portage-Kildonan,Summer 2022,Saturday,Night,17.07894736842105,10.552631578947368,48.68421052631579,,,,0.0,0.0
126,11,Portage-Kildonan,Summer 2022,Sunday,Night,19.945945945945947,7.864864864864865,40.5945945945946,,,,0.0,0.0
127,11,Portage-Kildonan,Summer 2022,Weekday,Night,30.60836501901141,19.828897338403042,86.6425855513308,Portage-Kildonan,2.085542168674699,2.3870481927710845,0.0,0.0
128,11,Portage-Kildonan,Summer 2022,Saturday,PM Peak,10.743589743589743,30.358974358974358,65.66666666666667,,,,0.0,0.0
129,11,Portage-Kildonan,Summer 2022,Sunday,PM Peak,6.871794871794871,54.30769230769231,68.12820512820512,,,,0.0,0.0
130,11,Portage-Kildonan,Summer 2022,Weekday,PM Peak,12.013333333333334,118.28,57.473333333333336,Portage-Kildonan,8.289497716894978,8.345205479452055,0.0,0.0
131,11,Portage-Kildonan,Summer 2023,Saturday,Evening,19.454545454545453,75.5,143.0,,,,0.0,0.0
132,11,Portage-Kildonan,Summer 2023,Special,Evening,32.0,6.5,121.5,,,,0.0,0.0
133,11,Portage-Kildonan,Summer 2023,Sunday,Evening,45.375,72.625,100.875,,,,0.0,0.0
134,11,Portage-Kildonan,Summer 2023,Weekday,Evening,67.40816326530613,85.1156462585034,158.46938775510205,Portage-Kildonan,7.766467065868263,7.791017964071855,0.0,0.0
135,11,Portage-Kildonan,Summer 2023,Saturday,Mid-Day,50.3125,95.125,277.5625,,,,0.0,0.0
136,11,Portage-Kildonan,Summer 2023,Special,Mid-Day,23.5,63.0,152.0,,,,0.0,0.0
137,11,Portage-Kildonan,Summer 2023,Sunday,Mid-Day,51.18518518518518,86.48148148148148,175.96296296296296,,,,0.0,0.0
138,11,Portage-Kildonan,Summer 2023,Weekday,Mid-Day,117.94047619047619,244.28571428571428,521.1309523809524,Portage-Kildonan,19.993846153846153,19.58871794871795,0.0,0.0
139,11,Portage-Kildonan,Summer 2023,Saturday,Morning,21.4375,15.9375,94.5,,,,351.0,34.0
140,11,Portage-Kildonan,Summer 2023,Sunday,Morning,36.375,26.75,121.25,,,,351.0,34.0
141,11,Portage-Kildonan,Summer 2023,Weekday,Morning,111.94047619047619,45.07142857142857,338.8809523809524,Portage-Kildonan,7.317435897435898,6.872307692307692,351.0,34.0
142,11,Portage-Kildonan,Summer 2023,Saturday,Night,22.571428571428573,11.904761904761905,46.095238095238095,,,,0.0,0.0
143,11,Portage-Kildonan,Summer 2023,Sunday,Night,4.909090909090909,15.636363636363637,38.40909090909091,,,,0.0,0.0
144,11,Portage-Kildonan,Summer 2023,Weekday,Night,31.2751677852349,26.2751677852349,72.87248322147651,Portage-Kildonan,2.1963746223564953,2.5066465256797583,0.0,0.0
145,11,Portage-Kildonan,Summer 2023,Saturday,PM Peak,13.25,33.916666666666664,78.5,,,,0.0,0.0
146,11,Portage-Kildonan,Summer 2023,Special,PM Peak,36.0,35.0,97.0,,,,0.0,0.0
147,11,Portage-Kildonan,Summer 2023,Sunday,PM Peak,27.0,64.61538461538461,62.5,,,,0.0,0.0
148,11,Portage-Kildonan,Summer 2023,Weekday,PM Peak,14.869281045751634,118.90196078431373,68.86274509803921,Portage-Kildonan,9.999543378995433,10.214155251141554,0.0,0.0
149,11,Portage-Kildonan,Winter 2022,Saturday,Evening,78.06060606060606,140.96969696969697,222.66666666666666,,,,0.0,0.0
150,11,Portage-Kildonan,Winter 2022,Sunday,Evening,42.54545454545455,138.9090909090909,145.36363636363637,,,,0.0,0.0
151,11,Portage-Kildonan,Winter 2022,Weekday,Evening,54.38513513513514,117.17567567567568,154.25675675675674,Portage-Kildonan,6.46497005988024,6.478443113772456,0.0,0.0
152,11,Portage-Kildonan,Winter 2022,Saturday,Mid-Day,109.88888888888889,321.05555555555554,481.94444444444446,,,,0.0,0.0
153,11,Portage-Kildonan,Winter 2022,Sunday,Mid-Day,42.625,231.40625,204.84375,,,,0.0,0.0
154,11,Portage-Kildonan,Winter 2022,Weekday,Mid-Day,85.39285714285714,330.32142857142856,439.17857142857144,Portage-Kildonan,18.403076923076924,17.974358974358974,0.0,0.0
155,11,Portage-Kildonan,Winter 2022,Saturday,Morning,52.55,57.2,202.45,,,,198.0,1.0
156,11,Portage-Kildonan,Winter 2022,Sunday,Morning,29.166666666666668,41.083333333333336,159.625,,,,198.0,1.0
157,11,Portage-Kildonan,Winter 2022,Weekday,Morning,58.035714285714285,82.83333333333333,336.5952380952381,Portage-Kildonan,7.00974358974359,6.667179487179487,198.0,1.0
158,11,Portage-Kildonan,Winter 2022,Saturday,Night,39.611111111111114,23.35185185185185,79.70370370370371,,,,0.0,0.0
159,11,Portage-Kildonan,Winter 2022,Sunday,Night,23.485714285714284,22.228571428571428,49.31428571428572,,,,0.0,0.0
160,11,Portage-Kildonan,Winter 2022,Weekday,Night,37.263513513513516,27.12162162162162,102.1554054054054,Portage-Kildonan,1.8543806646525678,2.1522658610271903,0.0,0.0
161,11,Portage-Kildonan,Winter 2022,Saturday,PM Peak,21.7,119.76666666666667,104.36666666666666,,,,0.0,0.0
162,11,Portage-Kildonan,Winter 2022,Sunday,PM Peak,19.066666666666666,157.76666666666668,68.76666666666667,,,,0.0,0.0
163,11,Portage-Kildonan,Winter 2022,Weekday,PM Peak,12.051612903225806,145.00645161290322,51.07096774193548,Portage-Kildonan,8.898173515981735,9.09634703196347,0.0,0.0
164,11,Portage-Kildonan,Winter 2023,Holiday,Evening,11.0,18.0,134.0,,,,0.0,0.0
165,11,Portage-Kildonan,Winter 2023,Saturday,Evening,51.24074074074074,104.87962962962963,160.87037037037038,,,,0.0,0.0
166,11,Portage-Kildonan,Winter 2023,Sunday,Evening,47.01923076923077,80.86538461538461,181.8846153846154,,,,0.0,0.0
167,11,Portage-Kildonan,Winter 2023,Weekday,Evening,79.59412780656304,69.23488773747842,190.0189982728843,,,,0.0,0.0
168,11,Portage-Kildonan,Winter 2023,Holiday,Mid-Day,1.0,140.5,166.0,,,,0.0,0.0
169,11,Portage-Kildonan,Winter 2023,Saturday,Mid-Day,63.984375,182.28125,377.90625,,,,0.0,0.0
170,11,Portage-Kildonan,Winter 2023,Sunday,Mid-Day,49.642857142857146,118.67857142857143,253.42857142857142,,,,0.0,0.0
171,11,Portage-Kildonan,Winter 2023,Weekday,Mid-Day,110.42642642642643,232.33933933933935,562.3273273273273,,,,0.0,0.0
172,11,Portage-Kildonan,Winter 2023,Holiday,Morning,1.0,30.0,99.5,,,,324.0,9.0
173,11,Portage-Kildonan,Winter 2023,Saturday,Morning,45.794117647058826,19.279411764705884,150.08823529411765,,,,324.0,9.0
174,11,Portage-Kildonan,Winter 2023,Sunday,Morning,36.285714285714285,28.017857142857142,162.66071428571428,,,,324.0,9.0
175,11,Portage-Kildonan,Winter 2023,Weekday,Morning,68.7710843373494,61.89156626506024,362.02710843373495,,,,324.0,9.0
176,11,Portage-Kildonan,Winter 2023,Holiday,PM Peak,3.0,102.0,31.0,,,,0.0,0.0
177,11,Portage-Kildonan,Winter 2023,Saturday,PM Peak,21.102803738317757,56.570093457943926,94.59813084112149,,,,0.0,0.0
178,11,Portage-Kildonan,Winter 2023,Sunday,PM Peak,28.17283950617284,79.04938271604938,102.41975308641975,,,,0.0,0.0
179,11,Portage-Kildonan,Winter 2023,Weekday,PM Peak,24.853577371048253,126.50083194675541,77.9783693843594,,,,0.0,0.0
180,11,Portage-Kildonan,Winter 2023,Saturday,Night,27.54794520547945,25.061643835616437,66.93150684931507,,,,0.0,0.0
181,11,Portage-Kildonan,Winter 2023,Sunday,Night,30.0,9.88888888888889,66.375,,,,0.0,0.0
182,11,Portage-Kildonan,Winter 2023,Weekday,Night,43.56484641638225,17.525597269624573,95.38054607508532,,,,0.0,0.0
183,12,William,Fall 2022,Saturday,Evening,3.142857142857143,10.785714285714286,30.5,,,,0.0,0.0
184,12,William,Fall 2022,Sunday,Evening,3.7142857142857144,1.0714285714285714,7.571428571428571,,,,0.0,0.0
185,12,William,Fall 2022,Weekday,Evening,32.23684210526316,10.210526315789474,162.23684210526315,William,2.2038961038961036,2.438961038961039,0.0,0.0
186,12,William,Fall 2022,Saturday,Mid-Day,51.5625,43.5625,277.8125,,,,0.0,0.0
187,12,William,Fall 2022,Sunday,Mid-Day,32.5,18.272727272727273,159.45454545454547,,,,0.0,0.0
188,12,William,Fall 2022,Weekday,Mid-Day,76.29268292682927,45.548780487804876,236.9512195121951,William,6.901298701298701,6.718181818181818,0.0,0.0
189,12,William,Fall 2022,Saturday,Morning,15.0,4.0625,92.0625,,,,0.0,0.0
190,12,William,Fall 2022,Weekday,Morning,26.890243902439025,15.804878048780488,164.9390243902439,William,5.064935064935065,4.87012987012987,0.0,0.0
191,12,William,Fall 2022,Saturday,PM Peak,20.5625,19.625,127.1875,,,,0.0,0.0
192,12,William,Fall 2022,Sunday,PM Peak,27.727272727272727,16.454545454545453,104.5909090909091,,,,0.0,0.0
193,12,William,Fall 2022,Weekday,PM Peak,19.451219512195124,56.573170731707314,113.82926829268293,William,5.481818181818182,5.57922077922078,0.0,0.0
194,12,William,Spring 2023,Saturday,Evening,8.714285714285714,10.714285714285714,25.642857142857142,,,,0.0,0.0
195,12,William,Spring 2023,Sunday,Evening,1.4444444444444444,0.2222222222222222,10.11111111111111,,,,0.0,0.0
